team_id,tournament_id,total_matches,home_matches,performance,year,host_country,home_win_percentage,performance_score,tournaments_participated
T-09,WC-2022,5,3,quarter-finals,2022,Qatar,60.0,4.0,30
T-10,WC-1962,3,0,group stage,1962,Chile,0.0,6.0,7
T-10,WC-1966,3,0,group stage,1966,England,0.0,6.0,7
T-10,WC-1970,3,1,group stage,1970,Mexico,33.33333333333333,6.0,7
T-10,WC-1974,3,2,group stage,1974,West Germany,66.66666666666666,6.0,7
T-10,WC-1986,4,1,round of 16,1986,Mexico,25.0,5.0,7
T-10,WC-1994,7,3,third-place match,1994,United States,42.857142857142854,,7
T-10,WC-1998,3,0,group stage,1998,France,0.0,6.0,7
T-11,WC-1982,3,0,group stage,1982,Spain,0.0,6.0,10
T-11,WC-1990,5,4,quarter-finals,1990,Italy,80.0,4.0,10
T-11,WC-1994,3,1,group stage,1994,United States,33.33333333333333,6.0,10
T-11,WC-1998,3,1,group stage,1998,France,33.33333333333333,6.0,10
T-11,WC-2002,3,2,group stage,2002,"Korea, Japan",66.66666666666666,6.0,10
T-11,WC-2010,3,2,group stage,2010,South Africa,66.66666666666666,6.0,10
T-11,WC-2014,3,2,group stage,2014,Brazil,66.66666666666666,6.0,10
T-11,WC-2015,4,1,round of 16,2015,Canada,25.0,5.0,10
T-11,WC-2019,4,1,round of 16,2019,France,25.0,5.0,10
T-11,WC-2022,3,2,group stage,2022,Qatar,66.66666666666666,6.0,10
T-12,WC-1986,3,1,group stage,1986,Mexico,33.33333333333333,6.0,9
T-12,WC-1995,3,0,group stage,1995,Sweden,0.0,6.0,9
T-12,WC-1999,3,1,group stage,1999,United States,33.33333333333333,6.0,9
T-12,WC-2003,6,2,third-place match,2003,United States,33.33333333333333,,9
T-12,WC-2007,3,1,group stage,2007,China,33.33333333333333,6.0,9
T-12,WC-2011,3,2,group stage,2011,Germany,66.66666666666666,6.0,9
T-12,WC-2015,5,3,quarter-final,2015,Canada,60.0,,9
T-12,WC-2019,4,2,round of 16,2019,France,50.0,5.0,9
T-12,WC-2022,3,1,group stage,2022,Qatar,33.33333333333333,6.0,9
T-13,WC-1930,3,2,group stage,1930,Uruguay,66.66666666666666,6.0,10
T-13,WC-1950,3,1,group stage,1950,Brazil,33.33333333333333,6.0,10
T-13,WC-1962,6,4,third-place match,1962,Chile,66.66666666666666,,10
T-13,WC-1966,3,1,group stage,1966,England,33.33333333333333,6.0,10
T-13,WC-1974,3,1,group stage,1974,West Germany,33.33333333333333,6.0,10
T-13,WC-1982,3,1,group stage,1982,Spain,33.33333333333333,6.0,10
T-13,WC-1998,4,2,round of 16,1998,France,50.0,5.0,10
T-13,WC-2010,4,2,round of 16,2010,South Africa,50.0,5.0,10
T-13,WC-2014,4,1,round of 16,2014,Brazil,25.0,5.0,10
T-13,WC-2019,3,1,group stage,2019,France,33.33333333333333,6.0,10
T-14,WC-1991,4,4,quarter-final,1991,China,100.0,,8
T-14,WC-1995,6,3,third-place match,1995,Sweden,50.0,,8
