id,matches_played,goals_scored,total_yellow_cards,total_red_cards,tournaments_participated,team_id,family_name,given_name,role,matches_managed,matches_officiated,award_name
P-02166,2.0,0.0,0.0,0.0,1,T-27,Quintanilla,José,Midfielder,,,
P-02174,2.0,0.0,0.0,0.0,1,T-03,Placente,Diego,Defender,,,
P-02177,3.0,0.0,0.0,0.0,1,T-14,Jiang,Jin,Goalkeeper,,,
P-02184,0.0,0.0,0.0,0.0,0,,Wang,Ying,Defender,,,
P-02210,1.0,0.0,0.0,0.0,1,T-57,Dudka,Dariusz,Midfielder,,,
P-02230,0.0,0.0,0.0,0.0,0,,Cornez,Marco,Goalkeeper,,,
P-02231,6.0,18.0,0.0,0.0,2,T-73,Costa,Diego,Forward,,,
P-02273,5.0,5.0,0.0,0.0,2,T-17,Medford,Hernán,Forward,,,
P-02281,0.0,1.0,0.0,0.0,1,,Veinante,Émile,Forward,,,
P-02292,0.0,0.0,0.0,0.0,0,,Stollenwerk,Georg,Defender,,,
P-02305,8.0,8.0,3.0,0.0,2,T-09,Casemiro,not applicable,Midfielder,,,
P-02315,2.0,0.0,0.0,0.0,1,T-41,Furlotti,Maura,Defender,,,
P-02323,2.0,0.0,0.0,0.0,1,T-74,Magnusson,Benno,Midfielder,,,
P-02328,19.0,0.0,0.0,0.0,3,T-31,Mertesacker,Per,Defender,,,
P-02344,0.0,0.0,0.0,0.0,0,,Backaert,Jo,Midfielder,,,
P-02347,6.0,0.0,0.0,0.0,2,T-76,Pikul,Khueanpet,Midfielder,,,
P-02351,0.0,0.0,0.0,0.0,0,,Corzo,Aldo,Defender,,,
P-02358,0.0,0.0,0.0,0.0,0,,Izzeta,Luis,Forward,,,
P-02360,4.0,4.0,0.0,0.0,1,T-50,Babangida,Tijani,Midfielder,,,
P-02366,0.0,0.0,0.0,0.0,0,,Kojima,Nobuyuki,Goalkeeper,,,
P-02372,2.0,0.0,0.0,0.0,1,T-10,Popov,Georgi,Forward,,,
P-02400,2.0,0.0,0.0,0.0,1,T-87,Mužinić,Dražen,Midfielder,,,
P-02403,3.0,3.0,0.0,0.0,1,T-61,Dembrovschi,Emerich,Midfielder,,,
P-02405,3.0,6.0,0.0,0.0,1,T-16,Redín,Bernardo,Midfielder,,,
P-02421,1.0,0.0,0.0,0.0,1,T-64,McKinlay,Billy,Midfielder,,,
P-02423,6.0,6.0,1.0,0.0,2,T-70,Fortune,Quinton,Midfielder,,,
